1,0,y
1,0,z
0,0,e
1,0,h
0,0,s
1,0,v
0,0,o
1,0,q
1,0,l
0,0,x
0,0,t
1,0,a
1,0,x
1,0,e
1,0,d
0,0,t
1,0,m
1,0,n
1,0,b
1,0,q
1,0,r
0,0,k
0,0,n
0,0,a
0,0,o
1,0,a
0,0,k
1,0,a
0,0,t
0,0,l
1,0,a
1,0,f
1,0,i
1,0,o
1,0,b
0,0,d
0,0,o
1,0,p
1,0,f
0,0,n
0,0,m
0,0,z
1,0,h
1,0,z
0,0,w
1,0,m
0,0,p
0,0,u
0,0,z
1,0,v
1,0,o
1,0,n
1,0,i
0,0,n
0,0,b
1,0,m
1,0,s
1,0,h
0,0,w
1,0,x
1,0,z
1,0,x
0,0,f
0,0,y
1,0,y
1,0,c
0,0,g
1,0,l
0,0,g
1,0,g
1,0,h
1,0,s
1,0,z
1,0,z
1,0,j
1,0,f
0,0,n
0,0,l
0,0,x
1,0,f
1,0,o
0,0,i
0,0,x
1,0,n
1,0,n
0,0,j
1,0,f
0,0,e
0,0,u
1,0,g
1,0,i
0,0,h
0,0,y
0,0,y
0,0,w
1,0,p
0,0,g
0,0,o
0,0,b
1,0,r
0,0,y
1,0,s
0,0,e
1,0,g
0,0,h
0,0,k
0,0,m
0,0,n
0,0,y
0,0,v
0,0,h
1,0,r
0,0,f
0,0,n
0,0,f
0,0,g
0,0,l
1,0,a
1,0,m
1,0,b
0,0,f
1,0,t
1,0,p
1,0,v
0,0,l
1,0,b
1,0,m
0,0,y
0,0,h
1,0,z
0,0,q
1,0,v
0,0,p
1,0,l
1,0,g
0,0,v
0,0,s
0,0,t
1,0,w
1,0,i
0,0,l
0,0,n
1,0,z
1,0,d
0,0,o
1,0,m
1,0,y
1,0,i
1,0,f
1,0,z
1,0,l
0,0,z
1,0,j
0,0,m
0,0,h
0,0,d
0,0,l
1,0,w
0,0,j
0,0,f
0,0,k
1,0,b
1,0,s
1,0,o
1,0,s
0,0,j
0,0,u
0,0,f
0,0,u
1,0,f
1,0,j
1,0,d
0,0,a
0,0,n
0,0,b
1,0,w
1,0,t
1,0,g
1,0,y
0,0,q
0,0,z
1,0,a
0,0,f
0,0,t
1,0,c
1,0,l
1,0,q
1,0,b
1,0,s
0,0,p
1,1,c
0,0,z
1,1,r
0,0,t
1,1,p
0,0,u
1,1,n
0,0,o
0,0,t
0,0,a
0,0,z
1,1,c
1,1,s
0,0,h
1,1,w
1,1,f
1,1,d
0,0,o
1,1,h
1,1,o
1,1,s
0,0,c
1,1,r
0,1,u
1,1,f
0,1,i
1,1,r
1,1,u
0,1,y
1,1,n
0,1,n
0,1,x
0,1,i
0,1,a
0,1,e
1,1,x
1,1,j
1,1,h
0,1,a
0,1,t
1,1,u
0,1,x
0,1,h
1,1,c
1,1,o
1,1,r
0,1,d
0,1,e
1,1,u
0,1,f
0,1,h
0,1,i
1,1,b
0,1,q
0,1,h
1,1,v
0,1,r
1,1,o
1,1,z
